Date,Rate
12/20/2007,24.7281
12/21/2007,24.7529
12/22/2007,24.7235
12/25/2007,24.7307
12/26/2007,24.7196
12/27/2007,24.7019
12/28/2007,24.6387
12/29/2007,24.5398
12/30/2007,24.5462
1/10/2008,24.4387
1/11/2008,24.4796
1/12/2008,24.3671
1/15/2008,24.2913
1/16/2008,24.2858
1/17/2008,24.3367
1/18/2008,24.5043
1/19/2008,24.5076
1/22/2008,24.6456
1/23/2008,24.8917
1/24/2008,24.6325
1/25/2008,24.6349
1/26/2008,24.4386
1/29/2008,24.5952
1/30/2008,24.475
1/31/2008,24.4764
2/1/2008,24.4262
2/2/2008,24.4201
2/5/2008,24.4543
2/6/2008,24.5211
2/7/2008,24.6706
2/8/2008,24.6466
2/9/2008,24.7813
2/12/2008,24.6715
2/13/2008,24.6537
2/14/2008,24.6655
2/15/2008,24.6392
2/16/2008,24.5861
2/19/2008,24.5767
2/20/2008,24.5206
2/21/2008,24.5486
2/22/2008,24.5299
2/23/2008,24.4663
2/27/2008,24.4558
2/28/2008,24.1966
2/29/2008,24.1159
3/1/2008,24.0023
3/4/2008,24.0103
3/5/2008,24.048
3/6/2008,24.0473
3/7/2008,23.9349
3/8/2008,23.8353
3/12/2008,23.8587
3/13/2008,23.8461
3/14/2008,23.6924
3/15/2008,23.649
3/18/2008,23.5126
3/19/2008,23.5325
3/20/2008,23.5581
3/21/2008,23.6781
3/22/2008,23.7773
3/25/2008,23.8351
3/26/2008,23.701
3/27/2008,23.6559
3/28/2008,23.5171
3/29/2008,23.5156
4/1/2008,23.5027
4/2/2008,23.5799
4/3/2008,23.6706
4/4/2008,23.6153
4/5/2008,23.5982
4/8/2008,23.6028
4/9/2008,23.533
4/10/2008,23.5437
4/11/2008,23.4628
4/12/2008,23.4825
4/15/2008,23.5139
4/16/2008,23.4549
4/17/2008,23.4482
4/18/2008,23.3703
4/19/2008,23.3696
4/22/2008,23.4704
4/23/2008,23.4299
4/24/2008,23.3448
4/25/2008,23.4391
4/26/2008,23.6007
4/29/2008,23.6037
4/30/2008,23.6471
5/1/2008,23.6588
5/5/2008,23.7939
5/6/2008,23.7633
5/7/2008,23.7456
5/8/2008,23.7523
5/9/2008,23.8833
5/13/2008,23.8328
5/14/2008,23.7199
5/15/2008,23.8521
5/16/2008,23.8482
5/17/2008,23.8391
5/20/2008,23.7238
5/21/2008,23.7462
5/22/2008,23.6874
